"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"05/01/2018 11:00:00 - 05/01/2018 12:00:00","BZN|CH","Without Sequence","53.10","",""
"05/01/2018 12:00:00 - 05/01/2018 13:00:00","BZN|CH","Without Sequence","51.83","",""
"05/01/2018 13:00:00 - 05/01/2018 14:00:00","BZN|CH","Without Sequence","49.99","",""
"05/01/2018 14:00:00 - 05/01/2018 15:00:00","BZN|CH","Without Sequence","50.15","",""
"05/01/2018 15:00:00 - 05/01/2018 16:00:00","BZN|CH","Without Sequence","52.03","",""
"05/01/2018 16:00:00 - 05/01/2018 17:00:00","BZN|CH","Without Sequence","52.91","",""
"05/01/2018 17:00:00 - 05/01/2018 18:00:00","BZN|CH","Without Sequence","54.25","",""
"05/01/2018 18:00:00 - 05/01/2018 19:00:00","BZN|CH","Without Sequence","52.62","",""
"05/01/2018 19:00:00 - 05/01/2018 20:00:00","BZN|CH","Without Sequence","50.03","",""
"05/01/2018 20:00:00 - 05/01/2018 21:00:00","BZN|CH","Without Sequence","43.00","",""
"05/01/2018 21:00:00 - 05/01/2018 22:00:00","BZN|CH","Without Sequence","39.99","",""
"05/01/2018 22:00:00 - 05/01/2018 23:00:00","BZN|CH","Without Sequence","43.11","",""
"05/01/2018 23:00:00 - 06/01/2018 00:00:00","BZN|CH","Without Sequence","39.49","",""
"06/01/2018 00:00:00 - 06/01/2018 01:00:00","BZN|CH","Without Sequence","35.20","",""
"06/01/2018 01:00:00 - 06/01/2018 02:00:00","BZN|CH","Without Sequence","29.26","",""
"06/01/2018 02:00:00 - 06/01/2018 03:00:00","BZN|CH","Without Sequence","24.32","",""
"06/01/2018 03:00:00 - 06/01/2018 04:00:00","BZN|CH","Without Sequence","22.68","",""
"06/01/2018 04:00:00 - 06/01/2018 05:00:00","BZN|CH","Without Sequence","22.47","",""
"06/01/2018 05:00:00 - 06/01/2018 06:00:00","BZN|CH","Without Sequence","29.31","",""
"06/01/2018 06:00:00 - 06/01/2018 07:00:00","BZN|CH","Without Sequence","35.16","",""
"06/01/2018 07:00:00 - 06/01/2018 08:00:00","BZN|CH","Without Sequence","35.36","",""
"06/01/2018 08:00:00 - 06/01/2018 09:00:00","BZN|CH","Without Sequence","36.75","",""
"06/01/2018 09:00:00 - 06/01/2018 10:00:00","BZN|CH","Without Sequence","38.01","",""
"06/01/2018 10:00:00 - 06/01/2018 11:00:00","BZN|CH","Without Sequence","38.09","",""
"06/01/2018 11:00:00 - 06/01/2018 12:00:00","BZN|CH","Without Sequence","39.02","",""
"06/01/2018 12:00:00 - 06/01/2018 13:00:00","BZN|CH","Without Sequence","39.07","",""
"06/01/2018 13:00:00 - 06/01/2018 14:00:00","BZN|CH","Without Sequence","39.05","",""
"06/01/2018 14:00:00 - 06/01/2018 15:00:00","BZN|CH","Without Sequence","38.28","",""
"06/01/2018 15:00:00 - 06/01/2018 16:00:00","BZN|CH","Without Sequence","38.35","",""
"06/01/2018 16:00:00 - 06/01/2018 17:00:00","BZN|CH","Without Sequence","39.71","",""
"06/01/2018 17:00:00 - 06/01/2018 18:00:00","BZN|CH","Without Sequence","46.93","",""
"06/01/2018 18:00:00 - 06/01/2018 19:00:00","BZN|CH","Without Sequence","51.90","",""
"06/01/2018 19:00:00 - 06/01/2018 20:00:00","BZN|CH","Without Sequence","51.84","",""
"06/01/2018 20:00:00 - 06/01/2018 21:00:00","BZN|CH","Without Sequence","48.35","",""
