"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"06/01/2022 02:00:00 - 06/01/2022 03:00:00","BZN|NL","Without Sequence","218.00","",""
"06/01/2022 03:00:00 - 06/01/2022 04:00:00","BZN|NL","Without Sequence","188.00","",""
"06/01/2022 04:00:00 - 06/01/2022 05:00:00","BZN|NL","Without Sequence","199.90","",""
"06/01/2022 05:00:00 - 06/01/2022 06:00:00","BZN|NL","Without Sequence","187.00","",""
"06/01/2022 06:00:00 - 06/01/2022 07:00:00","BZN|NL","Without Sequence","215.56","",""
"06/01/2022 07:00:00 - 06/01/2022 08:00:00","BZN|NL","Without Sequence","228.25","",""
"06/01/2022 08:00:00 - 06/01/2022 09:00:00","BZN|NL","Without Sequence","250.00","",""
"06/01/2022 09:00:00 - 06/01/2022 10:00:00","BZN|NL","Without Sequence","292.55","",""
"06/01/2022 10:00:00 - 06/01/2022 11:00:00","BZN|NL","Without Sequence","268.67","",""
"06/01/2022 11:00:00 - 06/01/2022 12:00:00","BZN|NL","Without Sequence","231.90","",""
"06/01/2022 12:00:00 - 06/01/2022 13:00:00","BZN|NL","Without Sequence","226.00","",""
"06/01/2022 13:00:00 - 06/01/2022 14:00:00","BZN|NL","Without Sequence","209.20","",""
"06/01/2022 14:00:00 - 06/01/2022 15:00:00","BZN|NL","Without Sequence","216.06","",""
"06/01/2022 15:00:00 - 06/01/2022 16:00:00","BZN|NL","Without Sequence","230.77","",""
"06/01/2022 16:00:00 - 06/01/2022 17:00:00","BZN|NL","Without Sequence","245.95","",""
"06/01/2022 17:00:00 - 06/01/2022 18:00:00","BZN|NL","Without Sequence","274.11","",""
"06/01/2022 18:00:00 - 06/01/2022 19:00:00","BZN|NL","Without Sequence","273.44","",""
"06/01/2022 19:00:00 - 06/01/2022 20:00:00","BZN|NL","Without Sequence","219.10","",""
"06/01/2022 20:00:00 - 06/01/2022 21:00:00","BZN|NL","Without Sequence","218.58","",""
"06/01/2022 21:00:00 - 06/01/2022 22:00:00","BZN|NL","Without Sequence","203.31","",""
"06/01/2022 22:00:00 - 06/01/2022 23:00:00","BZN|NL","Without Sequence","184.70","",""
"06/01/2022 23:00:00 - 07/01/2022 00:00:00","BZN|NL","Without Sequence","136.48","",""
"07/01/2022 00:00:00 - 07/01/2022 01:00:00","BZN|NL","Without Sequence","128.92","",""
"07/01/2022 01:00:00 - 07/01/2022 02:00:00","BZN|NL","Without Sequence","127.98","",""
"07/01/2022 02:00:00 - 07/01/2022 03:00:00","BZN|NL","Without Sequence","115.93","",""
"07/01/2022 03:00:00 - 07/01/2022 04:00:00","BZN|NL","Without Sequence","107.42","",""
"07/01/2022 04:00:00 - 07/01/2022 05:00:00","BZN|NL","Without Sequence","107.30","",""
"07/01/2022 05:00:00 - 07/01/2022 06:00:00","BZN|NL","Without Sequence","117.59","",""
"07/01/2022 06:00:00 - 07/01/2022 07:00:00","BZN|NL","Without Sequence","153.61","",""
"07/01/2022 07:00:00 - 07/01/2022 08:00:00","BZN|NL","Without Sequence","189.30","",""
"07/01/2022 08:00:00 - 07/01/2022 09:00:00","BZN|NL","Without Sequence","229.90","",""
"07/01/2022 09:00:00 - 07/01/2022 10:00:00","BZN|NL","Without Sequence","255.00","",""
"07/01/2022 10:00:00 - 07/01/2022 11:00:00","BZN|NL","Without Sequence","240.00","",""
"07/01/2022 11:00:00 - 07/01/2022 12:00:00","BZN|NL","Without Sequence","245.40","",""
"07/01/2022 12:00:00 - 07/01/2022 13:00:00","BZN|NL","Without Sequence","210.08","",""
"07/01/2022 13:00:00 - 07/01/2022 14:00:00","BZN|NL","Without Sequence","240.00","",""
"07/01/2022 14:00:00 - 07/01/2022 15:00:00","BZN|NL","Without Sequence","233.06","",""
"07/01/2022 15:00:00 - 07/01/2022 16:00:00","BZN|NL","Without Sequence","224.37","",""
"07/01/2022 16:00:00 - 07/01/2022 17:00:00","BZN|NL","Without Sequence","240.00","",""
"07/01/2022 17:00:00 - 07/01/2022 18:00:00","BZN|NL","Without Sequence","244.59","",""
"07/01/2022 18:00:00 - 07/01/2022 19:00:00","BZN|NL","Without Sequence","263.14","",""
"07/01/2022 19:00:00 - 07/01/2022 20:00:00","BZN|NL","Without Sequence","262.00","",""
"07/01/2022 20:00:00 - 07/01/2022 21:00:00","BZN|NL","Without Sequence","238.03","",""
"07/01/2022 21:00:00 - 07/01/2022 22:00:00","BZN|NL","Without Sequence","213.81","",""
"07/01/2022 22:00:00 - 07/01/2022 23:00:00","BZN|NL","Without Sequence","258.00","",""
"07/01/2022 23:00:00 - 08/01/2022 00:00:00","BZN|NL","Without Sequence","257.25","",""
"08/01/2022 00:00:00 - 08/01/2022 01:00:00","BZN|NL","Without Sequence","200.30","",""
"08/01/2022 01:00:00 - 08/01/2022 02:00:00","BZN|NL","Without Sequence","176.20","",""
